age,d13Ca_2p5,d13Ca_25,d13Ca_50,d13Ca_75,d13Ca_97p5
24.949863,-6.675842789,-6.365043165,-6.202512707,-6.022784612,-5.663083437
25.049863,-6.759542385,-6.442980542,-6.275302471,-6.100407599,-5.736450427
25.149863,-6.687812375,-6.386941302,-6.217352955,-6.035038201,-5.669736849
25.249863,-6.698737424,-6.399574925,-6.23974194,-6.054776905,-5.690922815
25.349863,-6.720702655,-6.418018185,-6.253621562,-6.066392109,-5.705572139
25.449863,-6.65691065,-6.353755299,-6.193336594,-6.010957601,-5.637549749
25.549863,-6.536992733,-6.216059542,-6.057654844,-5.866259283,-5.500187673
25.649863,-6.517722721,-6.207099017,-6.045439827,-5.864305464,-5.493942119
25.749863,-6.480385913,-6.177044765,-6.023633735,-5.833397715,-5.455681346
25.849863,-6.485489662,-6.180949979,-6.021859339,-5.829295068,-5.46300032
25.949863,-6.532448186,-6.22824088,-6.069280122,-5.878458819,-5.498827348
26.049863,-6.510934838,-6.204824568,-6.045535887,-5.850728412,-5.485425198
26.149863,-6.509226008,-6.207196421,-6.046281515,-5.858860985,-5.487439283
26.249863,-6.518030305,-6.198662679,-6.044592714,-5.857851874,-5.486417027
26.349863,-6.491535174,-6.189186639,-6.031451269,-5.845735,-5.475270699
26.449863,-6.4929059,-6.175567067,-6.01940223,-5.82959589,-5.470814093
26.549863,-6.459964682,-6.14007459,-5.986158432,-5.796081386,-5.441897931
26.649863,-6.472275942,-6.160453331,-6.001037143,-5.810219938,-5.451471756
26.749863,-6.447722071,-6.139735807,-5.983227167,-5.797201786,-5.430655765
26.849863,-6.500703823,-6.18629805,-6.025515639,-5.840859182,-5.470125162
26.949863,-6.538047774,-6.229328885,-6.071589026,-5.889359614,-5.518438881
27.049863,-6.612414967,-6.302761635,-6.141959889,-5.963508113,-5.589536084
27.149863,-6.586637725,-6.272494443,-6.114981857,-5.92933312,-5.566333552
27.249863,-6.624133403,-6.314138471,-6.152067393,-5.969006964,-5.612505299
27.349863,-6.62308917,-6.303140209,-6.145974127,-5.958359764,-5.589709002
27.449863,-6.601038761,-6.287568198,-6.125210949,-5.946776028,-5.581048623
27.549863,-6.487911118,-6.178453091,-6.016107199,-5.831882084,-5.470869248
27.649863,-6.500845436,-6.194260449,-6.035805164,-5.847661988,-5.480075549
27.749863,-6.475653751,-6.170044025,-6.010359819,-5.820663211,-5.449232099
27.849863,-6.448214492,-6.140358755,-5.988285935,-5.798397289,-5.432089328
27.949863,-6.501305082,-6.189209166,-6.032974912,-5.852025546,-5.479392079
28.049863,-6.598096706,-6.280934837,-6.12155429,-5.931276156,-5.564771227
28.149863,-6.62575149,-6.324072644,-6.162475629,-5.976348315,-5.6121126
28.249863,-6.578130243,-6.271132442,-6.108258763,-5.924749935,-5.566325708
28.349863,-6.547556385,-6.237858052,-6.0792319,-5.893014613,-5.529127298
